,text,language,detected_language
2032,Niemand is so dom soos die een wat nie wil leer nie en niemand is so lui soos die een wat nie wil dink nie.,Afrikaans,af
2033,Piece of piss,English,en
2034,Keep your hands clean,English,en
2035,Bale out/bail out,English,en
2037,Ladies' room,English,en
2038,Fly in the ointment,English,en
2039,Have a Captain Cook,English,en
2040,Wet behind the ears,English,en
2041,Nautical phrases,English,en
2042,It's that man again,English,en
2043,Geef hem een vinger en hij neemt de hele hand.,Nederlands,nl
2044,Cat's Cradle,English,en
2045,Touch wood,English,en
2046,How do you do?,English,en
2047,A ministering angel shall my sister be,English,en
2048,A golden key can open any door,English,en
2049,Die parlement is moerland toe.,Afrikaans,nl
2050,Shake a leg,English,en
2051,Fight the good fight,English,en
2052,Can't hold a candle to,English,en
2053,Merry Christmas,English,en
2054,Blue blood,English,en
2055,‘n Sinikus is iemand wat die prys van alles weet en die waarde van niks.,Afrikaans,af
2056,Laurels - rest on one's,English,en
2057,Hairy eyeball,English,en
2058,Great unwashed - the,English,en
2059,The pen is mightier than the sword,English,en
2060,Hy is blikners gery.,Afrikaans,af
2061,Whistle and flute,English,en
2062,"Sukses, is die kuns om hooi te maak van die gras wat ander mense onder hul voete vertrap.",Afrikaans,af
2063,Dirt bag,English,en
2064,Elke haan is koning op sy eie mishoop.,Afrikaans,af
2065,Dreams of empire,English,en
2066,Misquotes,English,en
2067,The bread of life,English,en
2068,Religion is the opium of the people,English,en
2069,In a pig's eye,English,en
2070,Up a blind alley,English,en
2071,"As jy nie daarin slaag om te beplan nie, beplan jy om nie te slaag nie.",Afrikaans,af
2072,How now brown cow?,English,en
2073,Klim uit die streskas!,Afrikaans,af
2074,Away with the fairies,English,en
2075,Pop goes the weasel,English,en
2076,Over a barrel,English,en
2077,Hy maak of hy geld in die bank het.,Afrikaans,af
2078,"Als de kat van huis is, dansen de muizen op tafel.",Nederlands,nl
2079,Ivory tower,English,en
2080,Flat out,English,en
2081,"Die grootste taak in die lewe is nie om te sien wat doer vér in die toekoms lê nie, maar om te identifiseer wat duidelik voor ons lê en dit te verwerk.",Afrikaans,af
2082,Hy is ‘n gladde kêrel.,Afrikaans,af
2083,Reën by buurman – jy kry niks. Die Here was sy vuil kindertjies eerste.,Afrikaans,af
2084,My old Dutch,English,en
2085,Press into service,English,en
2086,Off his own bat,English,en
2087,Get - underway,English,en
2088,"‘n Mens weet meer van ‘n pad deur dit te bewandel, as deur al die voorstellings en beskrywings in die wêreld – AS jy jou oë oophou en sien wat jy sien.",Afrikaans,af
2089,Petty cash,English,en
2090,Good in parts,English,en
2091,Compassion fatigue,English,en
2092,Caught in a cleft stick,English,en
2093,Baptism of fire,English,en
2094,On a hiding to nothing,English,en
2095,Fast asleep,English,en
2096,Nosy parker,English,en
2097,Alter ego,English,en
2098,"Jou karakter, soos die fondamente van ‘n huis, is onder die oppervlakte.",Afrikaans,af
2099,"Houston, we have a problem",English,en
2100,Cart before the horse - Put the,English,en
2101,Many happy returns,English,en
2102,Man after my own heart - A,English,en
2103,Hier kom nou weer baie loopneusdae meneer.,Afrikaans,nl
2104,Read between the lines,English,en
2105,Slush fund,English,en
2107,Well read,English,en
2108,Fools rush in where angels fear to tread,English,en
2109,Geld wat geel is maak reg wat skeel is.,Afrikaans,nl
2110,Tawdry,English,en
2111,Cor blimey,English,en
2112,Sleep like a top,English,en
2113,Fish out of water - A,English,en
2114,Silver lining - every cloud has a,English,en
2115,Shebang - The whole,English,en
2116,Tout de suite,English,fr
2117,Mum's the word,English,en
2118,"Friends, Romans, Countrymen, lend me your ears",English,en
2119,Female of the species is more deadly then the male - The,English,en
2120,"Jan van Rooy, vang ‘n vlooi – poef hom rooi en sê – dis mooi!",Afrikaans,af
2121,As straight as a die,English,en
2122,Spitting image,English,en
2123,Level playing field,English,en
2124,(The) pen is mightier than the sword,English,en
2125,Jou biesiepol!,Afrikaans,af
2126,Like billy-o,English,en
2127,Dead as a doornail,English,en
2128,Between the Devil and the deep blue sea,English,en
2129,Storm in a teacup,English,en
2130,Wotcher,English,en
2131,Beam ends - On your,English,en
2132,Seen better days,English,en
2133,Keep a wide berth,English,en
2134,Jannie is al ringbek.,Afrikaans,en
2135,Eighty six,English,en
2136,In the cart,English,en
2137,Bunny boiler,English,en
2138,Sak Sarel pa wil 'n Springbok skiet op Dooierus.,Afrikaans,af
2139,"“Wel, slaan my met ‘n pap snoek en vee jam onder my arms.” – ingestuur deur George",Afrikaans,nl
2140,Busy as a bee,English,en
2141,Play the race card,English,en
2142,Stars and garters - My,English,en
2143,Not a dicky-bird,English,en
2144,Share and share alike,English,en
2145,Dis makliker om weg te bly van die aas af as om los te kom van die hoek.,Afrikaans,af
2146,In the doghouse,English,en
2147,Elephant in the room,English,en
2148,"Daar is lewe in die grond. Dit gaan in die saad in en wanneer dit versteur word, gaan dit ook in die man wat dit versteur.",Afrikaans,af
2149,As good as gold,English,en
2150,Van die gramadoelas kom.,Afrikaans,nl
2151,Jy het nog niks geleer van iemand wat oor alles met jou saamstem nie.,Afrikaans,af
2152,On the bubble,English,en
2153,Badger to death,English,en
2154,Die son sit manshoogte van die berg af.,Afrikaans,da
2155,Hy is al sy alies kwyt.,Afrikaans,af
2156,Jury is still out,English,en
2157,He will give the Devil his due,English,en
2158,Pony and trap,English,en
2159,Pasop vir die man wat te veel praat. Sy korrels is vol kaf en pasop vir die een wat niks sê nie. Hy het ‘n verskuilde agenda.,Afrikaans,af
2160,Thick and thin,English,en
2161,Alike as two peas in a pod,English,en
2162,"(H)asta la vista, baby",English,en
2163,Pie in the sky,English,en
2164,Show your mettle,English,en
2166,A bird in the hand is worth two in the bush,English,en
2167,A word in edgeways,English,en
2168,Wear your heart on your sleeve,English,en
2169,Keep your pecker up,English,en
2170,Acronyms,English,en
2171,"“Hy tweng-tweng en pang-pang aan die snare.” – Boerneef, Boplaas",Afrikaans,af
2172,I will wear my heart upon my sleeve,English,en
2173,Blood is thicker than water,English,en
2174,Mouth-watering,English,en
2175,Dish fit for the gods - A,English,en
2176,Boxing Day,English,en
2177,"Elke mens kom vroeër of later, sy Waterloo teë!",Afrikaans,af
2178,"If the mountain will not come to Muhammad, then Muhammad must go to the mountain",English,en
2179,Jet-black,English,en
2180,Lick and a promise,English,en
2181,Sê groete aan die vrate.,Afrikaans,af
2182,Rule of thumb,English,en
2183,What's up Doc?,English,en
2184,Het is niet al goud wat blinkt.,Nederlands,nl
2186,Kangaroo court,English,en
2187,As fit as a fiddle,English,en
2188,Een ongeluk komt zelden alleen.,Nederlands,nl
2189,Frog in the throat - A,English,en
2190,So blind soos 'n mol.,Afrikaans,en
2191,As cold as any stone,English,en
2192,Close quarters,English,en
2193,"Close, but no cigar",English,en
2194,Go by the board,English,en
2195,Bling-bling,English,en
2196,Bums on seats,English,en
2197,Ek sê nooit vir my werksmense – loop en gaan doen ‘n werk nie. Ek sê: “Kom ons gaan doen ‘n werk. Bring julle toerusting.”,Afrikaans,af
2198,Dance attendance on,English,en
2199,Early bird catches the worm - The,English,en
2200,Hy weet hoe om ‘n bottel te knak.,Afrikaans,af
2201,Dutch - My old,English,en
2202,Fish or cut bait,English,en
2203,Hy is so haastig dat hy sy brood koud blaas en sy koffie kou. ‘n Slegte dag het hy beskryf: “Dit was 1ste graad van laaste graad. ‘n Goeie dag was laaste graad van 1ste graad.,Afrikaans,af
2204,Hie vlie woerts om die hoekie.,Afrikaans,af
2205,The law is an ass,English,en
2206,A knight in shining armour,English,en
2207,A red rag to a bull,English,en
2208,Geld groei nie op my rug nie.,Afrikaans,af
2209,Needs must,English,en
2210,Met spaarsaamheid sal jy uit die kleinste inkomste iets oorhou. Met verkwisting sal die grootste vir jou te min wees.,Afrikaans,af
2211,In the box-seat,English,en
2212,We are a grandmother,English,en
2213,‘n Totale balls-up van iets maak.,Afrikaans,nl
2214,Harp on,English,en
2215,Shanks' mare/shanks' pony,English,en
2216,The dark side,English,en
2217,Praat is goedkoop omdat die aanbod die aanvraag vér oorskry.,Afrikaans,af
2218,May you live in interesting times,English,en
2219,One sandwich short of a picnic,English,en
2220,Forgive them for they know not what they do,English,en
2221,Heart's content,English,en
2222,Dit is net die oortjies van die seekoei wat ons van weet.,Afrikaans,af
2223,By dint of,English,en
2224,Guts for garters,English,en
2225,Quarter - Give no,English,en
2226,Whistle down the wind,English,en
2227,Hy is nie onder 'n kalkoen uitgebroei nie.,Afrikaans,af
2228,Ou Jors sleep darem nog so aan.,Afrikaans,nl
2229,Act the giddy goat,English,en
2230,Hy moet nie met sy rondloperhondmaniere hier kom kuier nie.,Afrikaans,af
2231,Queer Street,English,en
2232,All that glitters is not gold / All that glisters is not gold,English,en
2233,Back-seat driver,English,en
2234,Jy is nou by die verkeerde adres.,Afrikaans,af
2235,Let not poor Nelly starve,English,en
2236,As dead as a doornail,English,en
2237,La-di-da,English,it
2238,Goody two-shoes,English,en
2240,"Early to bed and early to rise makes a man healthy, wealthy and wise",English,en
2241,Field day,English,en
2242,Eerlijkheid duurt het langst.,Nederlands,nl
2243,On your tod,English,en
2244,Ring the changes,English,en
2245,Warm onder die boordjie wees.,Afrikaans,af
2246,Dead cat bounce,English,en
2247,"Die enigste tyd wanneer spaargeld niks werd is nie, is wanneer jy ‘n goedkoop, sleg artikel gekoop het.",Afrikaans,af
2248,"‘n Swak tou, moet liggies getrek word.",Afrikaans,af
2249,Gild the lily,English,en
2250,Meet your Waterloo,English,en
2251,Hat trick,English,en
2252,Reduplicated phrases,English,en
2253,Riddle wrapped up in an enigma - A,English,en
2254,Hy slaan die bottel hard.,Afrikaans,af
2255,Three score and ten,English,en
2256,As bald as a coot,English,en
2257,Truth will out,English,en
2258,Bell the cat,English,en
2259,Up the apples and pears,English,en
2260,Beware of Greeks bearing gifts,English,en
2261,Meat and two veg.,English,en
2262,Die regverdige beloof min en verrig baie. Die Bose beloof baie en verrig nie eens min nie.,Afrikaans,af
2263,"Wie het laatst lacht, lacht het best.",Nederlands,nl
2264,Elke gek het sy gebrek.,Afrikaans,af
2265,Fate worse than death - A,English,en
2266,More light!,English,en
2267,Ons moet die kwaadpraat met goedpraat doodpraat.,Afrikaans,nl
2268,Mind your Ps and Qs,English,en
2269,Safe pair of hands - A,English,en
2270,Much of a muchness,English,en
2271,Old as the hills,English,en
2272,Wish you were here,English,en
2273,De puntjes op de i zetten.,Nederlands,nl
2274,Sy is ‘n regte ou tierwyfie.,Afrikaans,af
2275,Bugger Bognor!,English,en
2276,Hy besit geen duit nie.,Afrikaans,af
2277,Silence is golden,English,en
2278,Good Samaritan,English,en
2279,Dropping like flies,English,en
2280,Eerder bang Jan as dooi Jan anders is jy Bokveld toe.,Afrikaans,nl
2281,Keep your powder dry,English,en
2282,Easy as pie,English,en
2283,An Oxford scholar,English,en
2284,Play the giddy goat,English,en
2285,(Ask not) for whom the bell tolls,English,en
2286,Stone's throw,English,en
2287,Arm candy - see ear candy,English,en
2288,To travel hopefully is a better thing than to arrive,English,en
2289,Jack the lad,English,en
2290,Geduld is een schone zaak.,Nederlands,nl
2291,Double whammy,English,en
2292,There is more than one way to kill a cat,English,en
2293,Cut off without a penny,English,en
2294,Devil and the deep blue sea,English,en
2295,From strength to strength,English,en
2296,"We few, we happy few, we band of brothers",English,en
2297,Die verste berge is altyd die blouste.,Afrikaans,af
2298,Full to the gunwales,English,en
2299,Time and tide wait for no man,English,en
2300,A man who is his own lawyer has a fool for a client,English,en
2301,Comes to the crunch - (When it),English,en
2302,A riddle wrapped up in an enigma,English,en
2303,Road apples,English,en
2304,Cockney rhyming slang,English,en
2305,Darby and Joan,English,en
2306,Hy loop aandklas.,Afrikaans,af
2307,Why does bread always fall butter side down?,English,en
2308,White bread,English,en
2309,Tilting at windmills,English,en
2310,Pigeon-chested,English,en
2311,The upper hand,English,en
2312,Bandy words,English,en
2313,Chow down,English,en
2314,Pears for your heirs,English,en
2315,"Agter die donkerste onweerswolke, is die ewige son nog altyd daar.",Afrikaans,af
2316,Quicker than lager turns to piss,English,en
2317,All present and correct,English,en
2318,"Die beste manier om ‘n argument te wen, is om daaruit te bly.",Afrikaans,af
2319,Haat is selfmoord op ‘n langtermyn basis.,Afrikaans,af
2320,Zwijgen is goud.,Nederlands,nl
2322,We are not amused,English,en
2323,Browned off,English,en
2324,True blue,English,en
2325,Top dog,English,en
2326,Lickety-split,English,en
2327,Dis nie alle goud wat blink nie.,Afrikaans,af
2328,Soap-dodger,English,en
2329,Cost an arm and a leg,English,en
2330,Done a runner,English,en
2331,‘n Man van twaalf ambagte en dertien ongelukke.,Afrikaans,af
2332,"Zo gewonnen, zo geronnen.",Nederlands,nl
2333,Put on the wooden overcoat,English,en
2334,Tattoo phrases and sayings,English,en
2335,Die liefde is ‘n dubbeldoor – iets te wen en iets verloor.,Afrikaans,nl
2336,Burning the midnight oil,English,en
2337,"Bullet - Bit the, Bite the",English,en
2338,Doldrums - in the,English,en
2339,Middle of the road,English,en
2340,"As jy wil leef op hoop alleen, sal jy sterf van honger, armoede en ellende.",Afrikaans,af
2341,Je moet de huid niet verkopen voordat de beer geschoten is.,Nederlands,nl
2342,Hanky-panky,English,en
2343,Keep your nose clean,English,en
2344,Hy raak toe sommer doringbos vir haar.,Afrikaans,af
2345,The crack of doom,English,en
2346,Pin money,English,en
2347,"Eye of newt and toe of frog, wool of bat and tongue of dog",English,en
2348,Cold feet,English,en
2349,Don't die like I did,English,en
2350,Bygones be bygones - Let,English,en
2351,Mondegreens,English,en
2352,The sky's the limit,English,en
2353,Wave a red rag to a bull,English,en
2354,Visit the ladies' room,English,en
2355,House divided against itself cannot stand - A,English,en
2356,Shuffle off this mortal coil,English,en
2357,Going to hell in a handbasket,English,en
2358,Gestewel en gespoor.,Afrikaans,af
2359,Bean counter,English,en
2360,‘n Gordyn oor iets laat val.,Afrikaans,af
2361,"Waar die boer nie is nie, word sy baard nie geskeer nie.",Afrikaans,af
2362,Upper crust,English,en
2363,Halcyon days,English,en
2364,French phrases,English,en
2365,Life of Riley,English,en
2366,All intents and purposes,English,en
2367,Fast and loose,English,en
2368,Hobson's choice,English,en
2369,The great - unwashed,English,en
2370,"Overpaid, oversexed, and over here",English,en
2371,Apple pie order,English,en
2372,Put the cart before the horse,English,en
2373,Make my day,English,en
2374,Point Percy at the porcelain,English,en
2375,Big cheese - The,English,en
2376,The bitter end,English,en
2377,Cogito ergo sum,English,la
2378,As mad as a hatter,English,en
2379,"Een rede waarom ‘n hond ‘n goeie trooster kan wees as jy verslae voel, is dat hy nie vrae vra nie.",Afrikaans,af
2380,Cool Britannia,English,en
2381,Give no quarter,English,en
2382,Coin a phrase,English,en
2383,Clear blue water,English,en
2384,Politici loop almal met twee aangesigte,Afrikaans,af
2385,Legend in one's own lifetime,English,en
2386,Moveable feast,English,en
2387,Tower of strength,English,en
2388,"Moenie roem dat jy geen kwaad gedoen het nie. Watter goed het jy gedoen” ‘n Steeks perd is nie meer werd as een wat skop nie. Hy beteken minder – een wat skop, kan jy terug skop, maar jy kan nie terug steeks wees nie.",Afrikaans,af
2389,Customer is always right - The,English,en
2390,"Oh, my stars and garters",English,en
2391,"Waar een wil is, is een weg.",Nederlands,nl
2392,Get the sack,English,en
2393,Young turk,English,en
2394,Hy kan ‘n bokkom braai.,Afrikaans,af
2395,Keep body and soul together,English,en
2396,Hiding to nothing - On a,English,en
2397,"Pas op vir die man wat sy oë half toe hou. Dis nie dat hy nie wil uitkyk nie, dis om te keer dat jy inkyk.",Afrikaans,af
2398,Differently abled,English,en
2399,As fit as a butcher's dog,English,en
2400,Van surfing,English,en
2401,Richard of York gave battle in vain,English,en
2402,Colour up,English,en
2403,Kick your heels,English,en
2404,"Aan skuld betaal kom ‘n end, maar aan spyt kom nooit ‘n end nie.",Afrikaans,nl
2405,Nation of shopkeepers - A,English,en
2406,A hard man is good to find,English,en
2407,Hair of the dog that bit you,English,en
2408,‘n Duit in die armbeurs gooi.,Afrikaans,nl
2409,Gad zooks (or gadzooks),English,en
2410,Dis asof die lank-rek van die laaste noot die kraai laat lekkerkry.,Afrikaans,af
2411,Rack and ruin,English,en
2412,"Some are born great, some achieve greatness, and some have greatness thrust upon 'em",English,en
2413,De stoute schoenen aantrekken.,Nederlands,nl
2414,Total shambles,English,en
2415,A dog is a man's best friend,English,en
2416,Like a moth to a flame,English,en
2417,My old china,English,en
2418,"Die lewe sonder HUMOR, is soos ‘n kar sonder vere. Dit kan die stampe van die lewenspad nie absorbeer nie.",Afrikaans,af
2419,Pieter se nuwe meisie is ‘n mooi melkkoffie.,Afrikaans,af
2420,Take the upper hand,English,en
2421,Genius is one percent inspiration and 99 percent perspiration,English,en
2422,Brown as a berry,English,en
2423,A thing of beauty is a joy forever,English,en
2424,As daft as a brush,English,en
2425,Get your goat,English,en
2426,"Die perd wat die hawer verdien, kry dit nie altyd nie.",Afrikaans,af
2427,Steal my thunder,English,en
2428,Daar is maar één rede waarom ‘n mens onder ‘n vreemde nasie inkruip. Die voordeel van die parasiet OF die nadeel van die renegaat.,Afrikaans,nl
2429,Rob Peter to pay Paul,English,en
2430,Word in edgeways - A,English,en
2431,Jimmy Riddle,English,en
2432,Road less travelled - The,English,en
2433,Peg out,English,en
2434,Quick and the dead - The,English,en
2435,Wax lyrical,English,en
2436,On the shoulders of giants,English,en
2437,Good men and true,English,en
2438,"Om te dink is maklik; om te doen is moeilik. Om te doen soos ‘n mens dink, is die moeilikste van alles.",Afrikaans,af
2439,Thinking cap,English,en
2440,Like being savaged by a dead sheep,English,en
2441,Pasop vir ‘n na-paadjie. Daar moet ‘n rde wees waarom die grootpad nie daarlangs gaan nie.,Afrikaans,af
2443,An apple a day keeps the doctor away,English,en
2444,Think outside the box,English,en
2445,They couldn't hit an elephant at this distance,English,en
2446,Booze cruise,English,en
2447,Tea leaf,English,en
2448,In someone's bad books,English,en
2449,Proof of the pudding is in the eating - The,English,en
2450,A little knowledge is a dangerous thing,English,en
2451,Famous last words (dying statements of famous people - a list),English,en
2452,Talk of the Devil,English,en
2453,Nooit gedink my blindederm sal lank genoeg wees nie.,Afrikaans,af
2454,Suspension of disbelief,English,en
2455,Music has charms to soothe the savage breast,English,en
2456,Hy is opgedreun tot by oom Daantjie in die kalwerhok en weer terug.,Afrikaans,af
2457,By the board,English,en
2458,What a piece of work is man,English,en
2459,"As jy nie uit jou foute leer nie, is daar geen sin om hulle te maak nie.",Afrikaans,af
2460,Safe sex,English,en
2461,Sy is totaal en al bonkers.,Afrikaans,af
2462,In die sand byt.,Afrikaans,en
2463,Make a pig's ear of,English,en
2464,Anchors aweigh,English,en
2465,Daar is geen regte manier om ‘n verkeerde ding te doen nie.,Afrikaans,nl
2466,Fly on the wall,English,en
2467,Bone dry,English,en
2468,No holds barred,English,en
2469,Word for word,English,en
2470,So skaars soos ‘n tweedehandse doodkis.,Afrikaans,af
2471,Sick puppy (A),English,en
2472,Bobbejaanstuipe kry.,Afrikaans,nl
2473,Send packing,English,en
2474,Hy stuur ons van Pontius na Pilatus om te soek na 'n naald in die hooimied.,Afrikaans,af
2475,Almanakke druk.,Afrikaans,nl
2476,On the ball,English,en
2477,Have your guts for garters,English,en
2478,Sent to Coventry,English,en
2479,Shot in the dark,English,en
2480,Hou jou oë goed oop voor die huwelik en half-toe daarna.,Afrikaans,af
2481,Cleft stick - In a,English,en
2482,Peeping Tom,English,en
2483,Imitation is the sincerest form of flattery,English,en
2484,Helter-skelter,English,en
2485,Between a rock and a hard place,English,en
2486,(The whole) kit and caboodle,English,en
2487,Go like the clappers,English,en
2488,A friend in need is a friend indeed,English,en
2489,Come clean,English,en
2491,Happy as Larry,English,en
2492,In the offing,English,en
2493,Brush - As daft as a,English,en
2494,The Big Apple,English,en
2495,Take potluck,English,en
2496,Dust up,English,en
2497,Black sheep of the family,English,en
2498,Sy is ‘n diamant in my kroon.,Afrikaans,en
2499,Talk to the hand,English,en
2500,Frog's hair- as fine as,English,en
2501,Moaning Minnie,English,en
2502,Picture-perfect,English,en
2503,‘n Hen met spore.,Afrikaans,nl
2504,It's not rocket science,English,en
2505,"Ek probeer my skandelike verlede troos met goeie voornemens vir die toekoms, maar hy skud net sy kop.",Afrikaans,af
2506,(The) fat of the land,English,en
2507,Gee whiz,English,en
2508,An albatross around one's neck,English,en
2509,"Nasty, brutish and short",English,en
2510,Standing on the shoulders of giants,English,en
2511,Stille wateren hebben diepe gronden.,Nederlands,nl
2512,Hy is gedwee soos ‘n delwersdonkie.,Afrikaans,af
2513,Blaze a trail,English,en
2514,To a T,English,en
2515,Pure as the driven snow,English,en
2516,De laatste druppel doet de emmer overlopen.,Nederlands,nl
2517,Ek kan enigiets weerstaan behalwe versoeking.,Afrikaans,af
2518,A dog is a man's best friend,English,en
2519,Devil Incarnate - The,English,en
2520,"Mense wat min weet, praat baie; mense wat baie weet, praat min.",Afrikaans,af
2521,In the sticks,English,en
2522,"Skat jou bekwaamheid te min om mee te spog en jou karakter te goed om mee te speel, dan sal jy jou selfrespek bewaar en die respek van jou medemens verseker. Daar is maar een soort wat hul deugde onderskat – dis die werklik bekwames.",Afrikaans,af
2523,Born again,English,en
2524,Have no truck with,English,en
2525,Donkie vasmaak.,Afrikaans,af
2526,Red rag to a bull - A,English,en
2527,In die donker is alle katte grou.,Afrikaans,af
2528,Brummagem screwdriver,English,en
2529,Two peas in a pod,English,en
2530,“Hy trek ‘n Mbeki.”,Afrikaans,af
2531,In the nick of time,English,en
2532,"Die hand wat die wieg skommel, regeer die wêreld.",Afrikaans,af
2533,A watched pot never boils,English,en
2534,Die ouens sal moet losklos hardloop daar in Londen.,Afrikaans,af
2535,As XXX as YYY,English,en
2536,Diamond in the rough,English,en
2537,As alike as two peas in a pod,English,en
2539,Cherchez la femme,English,en
2540,I have not slept one wink,English,en
2541,Hy was kleindag so onbeskof.,Afrikaans,af
2542,Rose is a rose is a rose,English,en
2543,As cool as a cucumber,English,en
2544,Purple patch,English,en
2545,"High, wide and handsome",English,en
2546,On the pig's back,English,en
2548,Geld in die water gooi.,Afrikaans,nl
2549,A skeleton in the closet,English,en
2550,Hy het die hasepad gekies.,Afrikaans,af
2551,Tissue of lies,English,en
2552,Jump the gun,English,en
2553,Pond life,English,en
2554,Little knowledge is a dangerous thing - A,English,en
2555,Ek moet ‘n wegmens wees.,Afrikaans,af
2556,Out of sorts,English,en
2557,Up a gum tree,English,en
2558,Stand and deliver,English,en
2559,Al die suksesse in die wêreld is gebaseer op toewyding en ‘n goeie wil.,Afrikaans,af
2560,Bring home the bacon,English,en
2561,Never knowingly undersold,English,en
2562,Jy beny my blink skoene omdat jy nie weet van die liddorings wat binne pyn nie.,Afrikaans,af
2563,Body surfing,English,en
2565,A picture is worth a thousand words,English,en
2566,Pour oil on troubled waters,English,en
2567,Valentine's Day Poems and Sayings,English,en
2568,Aid and abet,English,en
2569,(The pen is) mightier than the sword,English,en
2570,Once in a blue moon,English,en
2571,Game is afoot - The,English,en
2572,"Dis nie welvaart en swier wat geluk bring nie, maar kalmte en werk.",Afrikaans,nl
2573,To beggar belief,English,en
2574,Trip the light fantastic,English,en
2575,A1 at Lloyds,English,en
2576,The hairy eyeball,English,en
2577,"Behandel die vreemdeling goed, maar wees versigtig om hom die kans te gee om jou te behandel.",Afrikaans,af
2578,Hell in a handbasket,English,en
2579,Sien jou in ‘n dik ruk.,Afrikaans,af
2580,"Julle kan dink en praat soos julle voel en oortuig is. Ek sal dit respekteer MAAR, moenie die houding van AAG-G WAT-T, aankweek nie.",Afrikaans,af
2581,Murphy's Law,English,en
2582,What part of no don't you understand?,English,en
2583,Touch and go,English,en
2584,Spin jy jou driewiel .,Afrikaans,af
2585,Booby trap,English,en
2586,Born within the sound of Bow Bells,English,en
2587,So bang soos ‘n bok vir ‘n skoot hael.,Afrikaans,af
2588,Heavens to Betsy,English,en
2589,Don't throw the baby out with the bathwater,English,en
2590,Make your hair stand on end,English,en
2591,Hy gaan met aasdieromslagtigheid te werk.,Afrikaans,af
2592,‘n Gebraaide hoender vlieg niemand in die mond nie.,Afrikaans,af
2593,Crackpot,English,en
2595,"Waar aas is, vergader die arende.",Afrikaans,af
2596,"Die spul daar op Bergplaas sit dassie, daar word nie geploeg nie.",Afrikaans,af
2597,Off with his head,English,en
2599,Giddy aunt,English,en
2600,Hedge your bets,English,en
2601,"Waar jy nie self by is nie, word jou gesig nie gewas nie.",Afrikaans,af
2602,Daar is 2 soorte werksmense: Een werk vir sy loon – die ander word beloon vir sy werk.,Afrikaans,af
2603,Behind every great man there's a great woman,English,en
2604,Rome is nie in een dag gebou nie so gaan jou gang rustig - hoe meer haas hoe minder spoed.,Afrikaans,af
2605,Sy bont varkie is weg.,Afrikaans,af
2607,Great minds think alike,English,en
2608,Down in the dumps,English,en
2609,Die boog kan nie altyd gespan wees nie.,Afrikaans,af
2610,Die verhouding tussen Hoofman en Werknemeres is soos dié tussen die wind en die gras. Die gras moet buig as die wind daaroor waai.,Afrikaans,af
2611,All at sea,English,en
2612,Bokwagter word.,Afrikaans,af
2613,Point-blank,English,en
2614,The darkest hour is just before the dawn,English,en
2616,"Ontwyk die uitvraer, want hy is ook ‘n verklapper.",Afrikaans,af
2617,Bird in the hand is worth two in the bush - A,English,en
2618,Life begins at forty,English,en
2619,Don't try to teach your Grandma to suck eggs,English,en
2620,An ill wind,English,en
2621,So arm soos ‘n kerkmuis.,Afrikaans,af
2622,Daai Jors kan vir jou lank ploeg!,Afrikaans,af
2623,Forbidden fruit,English,en
2624,Moenie jou pêrels voor die swyne werp nie.,Afrikaans,af
2625,Lardy-dardy,English,en
2626,Dit is nooit my eie dood waaroor ek spekuleer nie.,Afrikaans,af
2627,Keep it under your hat,English,en
2628,Christmas card verses,English,en
2629,Like the Dickens,English,en
2630,"Neither fish nor flesh, nor good red herring",English,en
2631,"If music be the food of love, play on",English,en
2632,"Die beste een vinnigste manier om ander mens te waarder, is om te probeer om hulle werk te doen.",Afrikaans,af
2633,Taken aback,English,en
2634,"Blood, sweat and tears",English,en
2635,Go out on a limb,English,en
2636,Nod - The land of,English,en
2637,Toast of the town,English,en
2638,Beat around the bush,English,en
2640,Hard man is good to find - A,English,en
2641,The Devil take the hindmost,English,en
2642,Die swaarste ding om te dra is ‘n wrok.,Afrikaans,af
2643,Let or hindrance,English,en
2644,‘n Aap op jou rug hê.,Afrikaans,af
2645,Never look a gift horse in the mouth,English,en
2646,Sound bite,English,en
2647,"Ring a ring o'roses, a pocketful of posies, atishoo, atishoo, all fall down",English,en
2648,As brown as a berry,English,en
2649,Hy lyk soos Sondagkos.,Afrikaans,af
2650,What God has joined together let no man put asunder,English,en
2651,Middle for diddle,English,en
2652,Black as Newgate's knocker,English,en
2653,Living on borrowed time,English,en
2654,Daar is net ‘n trekseltjie koffie oor in die pot.,Afrikaans,af
2655,For crying out loud,English,en
2656,The ends of the earth,English,en
2657,"Don't call us, we'll call you",English,en
2658,Lark about,English,en
2659,Turn up trumps,English,en
2661,Riley - the life of,English,en
2662,Has the cat got your tongue?,English,en
2663,On the QT,English,en
2664,As mad as a March hare,English,en
2665,Pipe down,English,en
2666,Eat my hat,English,en
2667,Lose face,English,en
2668,Have an axe to grind,English,en
2669,I told you is was ill,English,en
2670,You get on my wick,English,en
2671,Die beeste het in die brand geloop.,Afrikaans,af
2672,Jors is hier weg met die aanslag van die dag.,Afrikaans,nl
2673,Blind leading the blind - The,English,en
2674,Dieselfde water draai die verstandige man se meule wat die dwaas se grond verspoel.,Afrikaans,af
2675,Weakest link - A chain is only as strong as its,English,en
2677,Hy laat lê nie kos nie.,Afrikaans,af
2678,Double cross,English,en
2679,Gloom and doom,English,en
2680,Make hay while the sun shines,English,en
2681,"Wanneer ‘n man en vrou hul huwelik begin bespreek, lê hulle getuienis af by ‘n geregtelike ondersoek.",Afrikaans,af
